01-01-2024,1800
01-01-2024,2100
01-01-2024,1950
02-01-2024,1850
02-01-2024,2000
02-01-2024,1900
03-01-2024,1900
03-01-2024,2050
03-01-2024,1950
04-01-2024,2000
04-01-2024,2100
04-01-2024,1980
05-01-2024,1900
05-01-2024,2150
05-01-2024,2000
06-01-2024,2050
06-01-2024,1980
06-01-2024,1900
07-01-2024,2100
07-01-2024,2200
07-01-2024,1950
08-01-2024,2000
08-01-2024,1900
08-01-2024,2050
09-01-2024,1980
09-01-2024,2000
09-01-2024,2100
10-01-2024,2200
10-01-2024,1950
10-01-2024,2100
11-01-2024,1900
11-01-2024,2050
11-01-2024,1980
12-01-2024,2000
12-01-2024,2100
12-01-2024,1900
13-01-2024,2150
13-01-2024,2050
13-01-2024,1980
14-01-2024,2000
14-01-2024,2100
14-01-2024,1900
15-01-2024,2200
15-01-2024,1950
15-01-2024,2100
16-01-2024,2050
16-01-2024,1900
16-01-2024,2150
17-01-2024,1980
17-01-2024,2000
17-01-2024,2050
18-01-2024,2100
18-01-2024,1900
18-01-2024,1980
19-01-2024,2000
19-01-2024,2100
19-01-2024,1900
20-01-2024,2150
20-01-2024,2000
20-01-2024,1980
21-01-2024,2200
21-01-2024,1950
21-01-2024,2100
22-01-2024,2050
22-01-2024,1900
22-01-2024,2150
23-01-2024,1980
23-01-2024,2050
23-01-2024,1900
24-01-2024,2000
24-01-2024,2100
24-01-2024,1950
25-01-2024,1900
25-01-2024,2150
25-01-2024,2000
26-01-2024,2050
26-01-2024,1980
26-01-2024,1900
27-01-2024,2100
27-01-2024,2200
27-01-2024,1950
28-01-2024,2000
28-01-2024,1900
28-01-2024,2050
29-01-2024,1980
29-01-2024,2000
29-01-2024,2100
30-01-2024,2200
30-01-2024,1950
30-01-2024,2100
31-01-2024,1900
31-01-2024,2050
31-01-2024,1980
01-02-2024,2000
01-02-2024,2100
01-02-2024,1900
02-02-2024,2150
02-02-2024,2050
02-02-2024,1980
03-02-2024,2000
03-02-2024,2100
